device,devId,productKey,message,sensorType,group,userAction,activityUserAction,timeStamp,space
QUARTO_01_SENSOR_PRESENCA-009,disp0eab5aec3e1754e3617402aabda67a1b,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 't': 1694401200.0, 'value': 'ON'}, {'code': 'human_motion_state', 't': 1694401200.0, 'value': 'LARGER_MOVE'}]}",sensor,"['Andre', 'Vinicius']",Andre,ACORDAR_QUARTO_01,2023-09-11 00:00:00.515152,QUARTO_01
QUARTO_02_SENSOR_PRESENCA-013,disp19d98bb3c39ebde5faba20a3d40390e8,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 't': 1694401200.0, 'value': 'ON'}, {'code': 'human_motion_state', 't': 1694401200.0, 'value': 'LARGER_MOVE'}]}",sensor,"['Andre', 'Vinicius']",Vinicius,ACORDAR_QUARTO_02,2023-09-11 00:00:00.002482,QUARTO_02
QUARTO_01_AR_CONDICIONADO-007,disp18a2fbd7bb103309ff355641581b0265,s45f3s6f890sdfs876f8sd7d,"{'status': [{'code': 'switch', 't': 1694401205.0, 'value': 'ON'}, {'code': 'temp_set', 't': 1694401205.0, 'value': 23}, {'code': 'mode', 't': 1694401205.0, 'value': 'AUTO'}]}",atuador,"['Andre', 'Vinicius']",Andre,ACORDAR_QUARTO_01,2023-09-11 00:00:05.870769,QUARTO_01
QUARTO_02_AR_CONDICIONADO-011,disp12d66aea27fe15ee30653de92d4c5fa1,s45f3s6f890sdfs876f8sd7d,"{'status': [{'code': 'switch', 't': 1694401205.0, 'value': 'ON'}, {'code': 'temp_set', 't': 1694401205.0, 'value': 23}, {'code': 'mode', 't': 1694401205.0, 'value': 'AUTO'}]}",atuador,"['Andre', 'Vinicius']",Vinicius,ACORDAR_QUARTO_02,2023-09-11 00:00:05.212046,QUARTO_02
QUARTO_02_AR_CONDICIONADO-011,disp12d66aea27fe15ee30653de92d4c5fa1,s45f3s6f890sdfs876f8sd7d,"{'status': [{'code': 'switch', 't': 1694426498.0, 'value': 'OFF'}, {'code': 'temp_set', 't': 1694426498.0, 'value': 23}, {'code': 'mode', 't': 1694426498.0, 'value': 'AUTO'}]}",atuador,"['Andre', 'Vinicius']",Vinicius,ACORDAR_QUARTO_02,2023-09-11 07:01:38.246859,QUARTO_02
QUARTO_02_SENSOR_PRESENCA-013,disp19d98bb3c39ebde5faba20a3d40390e8,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 't': 1694426498.0, 'value': 'OFF'}, {'code': 'human_motion_state', 't': 1694426498.0, 'value': 'NONE'}]}",sensor,"['Andre', 'Vinicius']",Vinicius,ACORDAR_QUARTO_02,2023-09-11 07:01:38.421440,QUARTO_02
SALA_SENSOR_PRESENCA-003,disp2414e15a44146d1fbbcd2e0da20d8cfa,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 't': 1694426498.0, 'value': 'ON'}, {'code': 'human_motion_state', 't': 1694426498.0, 'value': 'LARGER_MOVE'}]}",sensor,"['Andre', 'Vinicius']",Vinicius,USAR_BANHEIRO,2023-09-11 07:01:38.799389,SALA
SALA_SENSOR_PRESENCA-003,disp2414e15a44146d1fbbcd2e0da20d8cfa,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 't': 1694426518.0, 'value': 'OFF'}, {'code': 'human_motion_state', 't': 1694426518.0, 'value': 'NONE'}]}",sensor,"['Andre', 'Vinicius']",Vinicius,USAR_BANHEIRO,2023-09-11 07:01:58.106923,SALA
CORREDOR_SENSOR_PRESENCA-021,disp91e9f8460c0e802cb3aeaceaabc880c6,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 't': 1694426518.0, 'value': 'ON'}, {'code': 'human_motion_state', 't': 1694426518.0, 'value': 'LARGER_MOVE'}]}",sensor,"['Andre', 'Vinicius']",Vinicius,USAR_BANHEIRO,2023-09-11 07:01:58.255807,CORREDOR
CORREDOR_SENSOR_PRESENCA-021,disp91e9f8460c0e802cb3aeaceaabc880c6,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 't': 1694426538.0, 'value': 'OFF'}, {'code': 'human_motion_state', 't': 1694426538.0, 'value': 'NONE'}]}",sensor,"['Andre', 'Vinicius']",Vinicius,USAR_BANHEIRO,2023-09-11 07:02:18.032009,CORREDOR
